accX,accY,accZ,gX,gY,gZ
452,-776,-1108,4306,-1410,-7560
1284,-608,-1076,4537,-2944,-8044
2256,-736,-8,5057,-2678,-9201
1276,-848,-1244,5113,-1747,-9678
404,-740,-1964,4713,-1542,-9875
-432,88,-2224,4130,-1088,-9510
-968,328,-3168,3196,-1551,-9432
-2956,1008,-4036,1718,-2839,-9551
-5244,1656,-2368,636,-5372,-9409
-8592,944,-256,1646,-2487,-8259
-17352,1616,-4984,2437,1286,-4638
-23936,1908,-10448,869,2484,-103
-27528,3724,-11608,-2137,1678,4905
-28368,5708,-10808,-4727,2352,9035
-28568,8596,-8528,-5245,4300,12244
-30344,9964,-13100,-5677,3178,13393
-26828,8444,-9004,-6881,-684,14113
-21692,7604,-3824,-4861,2076,14659
-17948,8068,-8472,-3717,2493,13224
-14748,6312,-6276,-3018,-47,10167
-13036,4468,-6384,-1913,437,7904
-14268,4316,-8304,-1944,689,5872
-13840,4072,-6684,-2271,191,4292
-14084,4908,-5276,-2138,818,2935
-13932,5624,-5712,-1935,1206,1877
-13904,5400,-6092,-2002,1415,1013
-14320,5500,-5680,-2078,1802,455
-14508,5948,-6008,-2163,1089,-2
-14316,6012,-5908,-2298,362,-366
-13908,6636,-5412,-2093,182,-1003
-13988,6668,-4860,-1468,-338,-1620
-14224,6928,-5324,-944,-988,-2113
-14700,6740,-5796,-896,-1371,-1945
-14408,6328,-5668,-944,-2256,-1749
-13976,6256,-4836,-1001,-2021,-1523
-13996,6484,-5356,-971,-1693,-1156
-13788,6596,-5564,-1220,-1639,-669
-13716,6440,-4708,-1202,-1878,-441
-12952,6700,-4456,-843,-1582,-390
-12964,6824,-5064,-469,-911,-489
-12896,6644,-5604,-427,-442,-493
-13212,6496,-5768,-646,-270,-466
-13392,6456,-5500,-758,-309,-519
-13316,6636,-5276,-648,18,-617
-13220,6480,-5540,-511,370,-720
-13524,6012,-5796,-654,477,-646
-13552,6072,-5248,-702,653,-617
-13640,6084,-5008,-586,906,-493
-13816,6084,-5116,-394,774,-414
-13856,6272,-5396,-355,683,-238
-14004,6168,-5164,-415,704,-119
-14164,6612,-5040,-330,846,-133
-13908,6592,-5112,-341,871,-237
-13820,6404,-5052,-244,736,-475
-13812,6080,-5008,-117,761,-496
-13784,5800,-5024,-144,577,-516
-13820,5736,-5124,-271,522,-492
-14124,5604,-4712,-188,673,-280
-13884,5644,-4980,-39,850,-121
-14116,5916,-5120,-199,770,-126
-14140,5880,-4992,-270,566,-83
-14320,6080,-5224,-235,445,-11
-13712,6120,-5100,-294,118,-90
-13896,6056,-4964,-292,146,-143
-13832,5928,-4824,-317,104,-86
-13680,6104,-5048,-308,323,-55
-14092,6304,-5148,-536,395,-75
-14296,6360,-5260,-550,113,-129
-14072,6240,-5160,-587,97,-101
-13612,5916,-5084,-647,268,-28
-13904,5840,-5108,-669,467,2
-13868,5916,-5292,-682,551,27
-14040,6200,-5264,-662,432,16
-14092,6316,-5260,-654,310,-34
-13596,6080,-5068,-522,330,-80
-13688,6008,-5396,-373,313,-191
-13952,5864,-5408,-329,279,-284
-13652,5876,-5400,-429,30,-330
-13628,5796,-5020,-413,202,-253
-13596,5960,-5268,-394,402,-162
-13900,5808,-5500,-496,373,-112
-13724,5788,-5120,-601,24,-55
-13508,5716,-4804,-438,-196,18
-13532,5752,-5256,-284,280,113
-13596,5696,-5220,-364,332,330
-13788,5740,-5068,-482,351,671
-13600,5680,-5104,-505,406,979
-12936,5508,-4876,-508,309,1029
-12088,4996,-4256,-441,364,960
-12020,4228,-4284,-348,750,1233
-12012,4488,-4944,-414,756,1591
-12104,4512,-4620,-336,854,1701
