accX,accY,accZ,gX,gY,gZ
-1580,16176,1008,-515,-809,-154
-1572,16268,832,-585,-1087,-175
-1608,16196,924,-589,-1330,-156
-1404,16364,960,-567,-1431,-201
-1268,16280,824,-669,-1235,-164
-1240,16324,856,-811,-877,-160
-1112,16324,748,-978,-635,-56
-1180,16240,636,-996,-461,17
-1148,16332,616,-964,-361,59
-952,16232,1048,-767,-247,55
-884,16252,944,-736,-38,77
-912,16192,980,-955,140,327
-976,15996,1156,-997,-279,434
-1052,15484,1736,-791,-870,553
-836,15536,2136,-591,-1689,619
-396,15548,2120,-816,-1691,797
-164,15916,2460,-1212,-955,941
-464,15928,2612,-1471,-266,967
-704,15948,2176,-1805,498,1127
-684,15868,2148,-1813,523,840
-1380,15752,1936,-1576,287,575
-1024,15928,1720,-1386,15,310
-1104,15928,1508,-1223,405,194
-1180,15972,1328,-1332,732,51
-1448,15852,1340,-1303,850,-124
-1452,15948,1592,-1080,961,-180
-1220,15668,1736,-914,1285,-285
-1368,15596,1860,-972,1583,-399
-1236,15592,2012,-1017,1684,-583
-1180,16060,2280,-1040,1621,-656
-984,16136,2212,-1127,1797,-626
-760,16256,2428,-1226,2271,-619
-780,16532,2340,-1249,2791,-768
-664,16552,2548,-1183,2991,-865
-836,16328,2596,-1107,3134,-970
-812,15796,2520,-1238,3274,-1092
-1144,15148,2264,-1447,2804,-1242
-952,14856,2520,-1422,2560,-1217
-968,15256,2816,-1272,2909,-903
-1352,15396,2872,-895,2868,-385
-1628,15444,2684,-650,2337,224
-1504,15324,2684,-619,1859,570
-1448,15296,2632,-638,1643,693
-1884,15456,2732,-584,783,830
-1988,15284,2656,-327,-439,852
-1428,15276,2416,-143,-608,899
-1436,15396,2528,-198,-147,714
-1340,15256,2520,-343,243,315
-1340,15440,2412,-441,576,-121
-1644,15580,2272,-432,382,-469
-1500,15704,2220,-296,-128,-751
-1000,16128,2476,-68,89,-919
-824,16588,2536,31,939,-928
-700,16300,2348,-130,2142,-853
-1136,15764,2112,-310,3092,-924
-1908,15268,1428,-288,2749,-1145
-2552,15192,1100,53,1175,-1372
-2048,15324,1268,400,-41,-1550
-1500,15392,1588,577,392,-1489
-724,15736,1884,516,2860,-1392
-568,15856,2028,585,5851,-1477
-1412,15900,1956,377,6995,-1409
-2536,16148,1876,309,5770,-1167
-2412,16012,1648,396,3638,-749
-2280,16288,1452,231,2139,-537
-1956,16084,1332,220,1464,-363
-2024,16220,1336,191,943,-409
-2084,16312,1096,351,346,-423
-1760,16468,1156,362,171,-302
-1532,16300,1096,208,602,-209
-1484,15980,1300,109,1067,-173
-1696,15828,1328,105,1139,-142
-1868,15812,1288,156,948,-79
-2024,16028,1124,210,360,23
-2144,15988,812,126,-305,190
-2180,16064,516,90,-1024,291
-2060,15852,988,158,-1506,381
-2036,15616,1372,237,-1106,525
-2100,15704,1588,250,-377,616
-2496,15496,1564,201,-163,648
-2668,15404,1292,283,-622,538
-2868,15604,920,345,-1350,355
-2832,15744,688,369,-2077,170
-2628,15776,644,382,-2477,10
-2280,15956,580,322,-2542,-263
-2092,16288,704,287,-2623,-441
-1780,16468,792,198,-2728,-567
-1536,16444,1024,61,-2871,-666
-1320,16264,780,-107,-2871,-730
-740,16180,1632,-224,-2857,-788
-936,15928,1528,-148,-2566,-888
-576,16156,1568,-147,-2303,-950
-520,16248,1484,-118,-1854,-785
-420,16272,1332,-224,-1430,-677
-544,16212,1076,-302,-892,-588
-500,16228,1160,-338,-412,-543
-664,16384,796,-330,14,-381
-664,16432,864,-438,458,-198
-676,16516,1132,-577,930,-58
-860,16492,1152,-858,1378,-40
-852,16388,1288,-971,1717,-36
-792,16252,1388,-962,2202,16
-944,16448,1392,-1002,2361,71
-1068,16500,1244,-1375,2335,119
-988,16248,1520,-1492,2371,108
-1124,16248,1556,-1574,2424,285
-996,16048,1564,-1644,2494,391
-1260,16056,1588,-1737,2460,580
-1560,16144,1276,-1933,2264,615
-1508,16116,1260,-1943,2391,690
-1604,15792,1300,-1876,2418,724
-1768,15940,1376,-1809,2363,666
-1940,15968,1404,-1723,2272,614
-2136,15820,1420,-1733,1922,615
