accX,accY,accZ,gX,gY,gZ
-13464,-6308,-14248,-14852,993,-2004
-12980,-5872,-14012,-13532,928,-2199
-13116,-6256,-13732,-12184,-264,-2275
-13376,-7272,-12592,-10415,-324,-1990
-14032,-7612,-12544,-8526,-653,-1381
-13700,-6696,-13988,-7573,-1491,-788
-13132,-7060,-13672,-7032,-1799,-568
-12512,-8072,-12780,-6149,-1679,-382
-13808,-8448,-13060,-4979,-1308,53
-13284,-7928,-14148,-3450,-738,348
-13968,-7036,-14388,-1764,-862,216
-13944,-7148,-13564,312,-964,118
-14988,-7464,-14484,2131,-1093,76
-15644,-7592,-14236,3650,-1125,539
-15268,-6280,-15372,4662,-1178,693
-13260,-6220,-14048,5519,-1866,493
-12048,-7892,-12584,6865,-1624,760
-12932,-8036,-13108,8640,-1078,1703
-13604,-7344,-13044,10092,-969,2289
-13544,-5256,-14244,10977,-1005,2539
-11796,-5404,-12788,11804,-1838,1935
-11636,-6696,-11464,12489,-1573,1697
-13340,-6892,-12584,13599,-1124,2251
-13992,-6544,-12132,14507,-1247,2568
-13260,-5236,-11888,15066,-776,2780
-11776,-4708,-11092,15447,-316,2486
-12140,-5504,-10732,15903,-1287,2359
-12404,-5664,-10652,15962,-1586,2628
-13264,-5780,-9368,16328,-2446,3223
-12516,-5708,-8764,16827,-2081,3705
-11548,-5184,-8248,17253,-1088,3781
-11168,-4840,-8180,17440,-1057,3488
-11556,-5360,-8000,17628,-2492,3046
-11476,-5712,-7196,17954,-2550,3116
-11136,-5432,-6856,18293,-1235,3207
-12004,-5236,-7784,18291,-426,3001
-12172,-4864,-7744,17770,-226,3070
-11920,-4652,-7172,17176,-703,3042
-11592,-4840,-6804,16717,-363,3016
-11692,-4668,-6628,16471,252,3404
-11860,-4408,-6132,16439,976,3584
-12784,-4152,-5764,16541,761,3751
-12908,-3608,-6244,16013,167,3878
-12636,-3548,-5888,15453,171,3781
-12284,-3632,-4456,15275,1142,3559
-12760,-3988,-3668,15657,1257,3438
-13320,-3952,-3856,15727,1247,3643
-13016,-4300,-4220,15600,1662,3977
-13608,-4032,-3880,15120,2152,4110
-13920,-3900,-3180,14594,1985,3995
-13640,-3024,-2500,14164,1214,3914
-12500,-2160,-2560,13910,1228,3381
-12768,-1792,-2680,13235,2027,2660
-13872,-2440,-2712,12796,2812,2619
-15420,-2340,-3552,11740,2764,2919
-15744,-1876,-3536,10200,2505,2644
-15628,-1172,-2656,8860,2503,2258
-16276,-1224,-1852,8006,3066,1711
-16604,-1640,-2444,7014,2897,1590
-17296,-2316,-2404,6204,1505,1604
-16604,-2484,-928,5602,278,1041
-16324,-2660,-256,5718,712,569
-16952,-3280,-1052,5821,769,321
-16264,-3508,-1028,5448,-236,199
-14932,-3812,-248,5503,160,-329
-15648,-4480,-512,5802,1184,-394
-16156,-4752,-1092,5707,825,-360
-15704,-4760,-784,5712,148,-396
-16096,-4760,-760,5910,294,-556
-16576,-4860,-1224,6209,180,-692
-17028,-4964,-1412,6339,-326,-720
-16000,-5288,-808,6352,-1055,-948
-15496,-5476,-448,6682,-1014,-1092
-16060,-5656,-980,7142,-901,-1153
-16012,-5520,-700,7439,-1569,-1586
-15484,-5472,176,7896,-1439,-2104
-15768,-5604,-556,8599,-798,-2460
-15532,-5572,-1048,9143,-655,-2708
-15996,-5560,-792,9769,-325,-2738
-15908,-5160,-968,10491,-660,-2887
-15608,-4564,-1236,10866,-1412,-3223
-14744,-4872,-48,11481,-1686,-3876
-14580,-4936,-148,11867,-1388,-4172
-14796,-5100,-116,12319,-1373,-4312
-14796,-5112,-112,12469,-1170,-4180
-14696,-5148,52,12530,-898,-3967
-14496,-5164,372,12701,-1448,-3810
-13764,-5228,1064,13148,-1563,-3795
-13040,-4808,628,13732,-1269,-3889
-12780,-4360,-4,14123,-576,-3942
-13500,-4520,396,14552,-415,-3693
-12928,-4628,708,15040,-487,-3268
-12764,-4700,792,15427,18,-2761
-12944,-4612,556,15954,856,-2327
-12528,-4036,932,16041,341,-2267
-12028,-3264,940,15822,-531,-3037
-11392,-2468,1604,16008,85,-3595
