accX,accY,accZ,gX,gY,gZ
-3936,-2724,16864,-1078,-2741,-1485
-2808,-2308,18080,-765,-3329,-537
-1320,-2092,19200,-1296,-2046,-474
-628,-2140,18184,-2593,1758,433
-808,-2392,16472,-3933,5452,1421
-1448,-2896,14868,-4833,8195,2000
-2736,-3228,14164,-4858,9102,2435
-2596,-3176,14192,-4298,9400,2059
-5704,-2628,14668,-3113,6302,2103
-5752,-2252,14708,-2128,2942,2172
-4448,-1416,14708,-1647,1206,2194
-2744,-1352,15164,-1753,2009,1275
-3136,-1164,15572,-2127,3446,689
-2876,-1504,15532,-2715,4725,490
-3456,-1896,14892,-3400,5918,627
-4320,-2312,14420,-4017,5855,1025
-5172,-3276,14060,-4212,5171,1266
-5372,-3664,13608,-4084,5223,1015
-5732,-3980,13384,-3926,6226,162
-6540,-4336,13316,-3634,7275,-330
-6884,-4524,12764,-3290,7991,-667
-6824,-4136,12548,-3316,8014,-1512
-7584,-4524,12280,-3057,8405,-1719
-8476,-4436,12048,-2461,8021,-802
-8928,-4256,11924,-1772,6330,-254
-9676,-3720,12072,-885,3748,301
-10340,-3308,12596,-27,424,848
-9384,-2964,12464,851,-2681,966
-7820,-2652,12044,1206,-4189,850
-6336,-2656,11612,1229,-3779,389
-6468,-2464,12380,1154,-2909,79
-7660,-3012,13884,1477,-3125,-139
-7700,-3120,14284,1692,-4316,-823
-6316,-3504,13740,1605,-3999,-1677
-5672,-4076,13800,1163,-2120,-2059
-5928,-4544,14476,857,-519,-2090
-6204,-4712,14636,724,-102,-1872
-6056,-4552,14848,632,-414,-1397
-5740,-3756,14236,529,-625,-909
-5760,-3880,14228,233,-472,-408
-5876,-3304,14392,42,-176,39
-6016,-2976,14048,-54,-95,44
-6176,-2604,13928,-356,-85,-160
-5896,-2644,13780,-659,25,-364
-5904,-2664,13916,-784,411,-435
-6052,-3152,13864,-904,653,-341
-6116,-3208,13844,-949,676,-87
-6260,-3284,13952,-899,585,69
-6380,-3488,13824,-787,305,206
-6396,-3752,13608,-808,167,212
-6616,-3752,13648,-761,-18,262
-6560,-3696,13612,-682,-338,309
-6480,-3608,13492,-651,-827,448
-6324,-3356,13752,-722,-1410,707
-6024,-3356,14252,-641,-2087,1130
-6148,-2928,14236,-661,-2462,1484
-5444,-2948,14024,-897,-2168,1686
-4992,-2752,14064,-1165,-1305,1708
-5356,-2884,14468,-1101,-1091,1761
-5340,-2884,14492,-1159,-1587,1965
-4892,-2732,14272,-1366,-1508,2190
-5020,-2524,14212,-1679,-1018,2393
-5092,-2636,14352,-1779,-509,2299
-5272,-2692,13980,-1912,-133,2025
-5296,-3036,13940,-2089,201,1708
-5732,-3516,14028,-2024,280,1565
-5904,-3584,14256,-1826,19,1317
-5940,-3972,14452,-1627,-121,898
-5908,-4016,14204,-1445,364,366
-5708,-4220,13420,-1573,1588,-481
-5964,-4676,12888,-1699,2971,-1076
-6972,-4916,13160,-1370,2817,-1257
-7488,-5316,13496,-849,1252,-1371
-7216,-5264,13512,-427,-177,-1172
-6912,-5100,13544,-112,-642,-962
-6568,-5132,13764,-30,-375,-871
-6332,-4512,13892,0,69,-889
-5944,-4188,13788,-40,225,-673
-5724,-3908,13704,-51,322,-412
-5740,-3576,13940,-65,407,-293
-5716,-3336,13976,-138,486,-279
-5644,-3372,14140,-268,625,-440
-5596,-3416,13944,-424,1067,-666
-5528,-3612,13992,-546,1477,-896
-5724,-3884,13888,-510,1642,-956
-5920,-4052,13936,-324,1695,-1063
-6048,-4256,13868,-152,1520,-1153
-5988,-4144,13800,68,1271,-1300
-5968,-4236,13864,181,1232,-1432
-6128,-4080,13752,277,1174,-1472
-5924,-4204,13748,374,1181,-1491
-6132,-4188,13688,385,1219,-1427
-6260,-4088,13768,484,1280,-1427
-6360,-4040,13784,575,1195,-1365
-6384,-3860,13572,576,1017,-1334
-6296,-3708,13688,590,906,-1290
-6328,-3552,13852,631,719,-1215
-6232,-3492,13656,561,542,-1127
-6052,-3500,13876,483,385,-1006
-6024,-3308,13880,382,315,-889
