accX,accY,accZ,gX,gY,gZ
-5608,3844,-4892,-4949,1233,-5018
-5904,3384,-4840,-2890,2355,-3781
-6512,4032,-4952,-664,3255,-2279
-7656,4520,-5436,1457,3575,-1038
-8128,5492,-6808,2944,2795,485
-7236,6176,-7208,3681,2716,1329
-6984,6272,-6556,4259,3001,2081
-8172,6912,-6384,4806,3348,2021
-10452,7640,-6732,5661,2507,3100
-9724,7920,-5968,6387,1578,3383
-9340,8460,-6484,8351,2809,4290
-8692,8120,-6296,9817,4894,4189
-10244,9872,-8200,10991,6065,6412
-11412,12052,-10160,11071,4285,6210
-12732,14272,-10800,11176,890,5963
-12828,14928,-9456,12470,-394,6077
-12744,15036,-9912,14210,-3071,6100
-13076,16912,-13164,15301,-4588,5541
-13764,17184,-12708,16235,-6936,4866
-12980,17684,-12112,18033,-9034,4225
-13052,18284,-12536,20239,-10660,3248
-12164,18464,-13844,21992,-11477,1432
-11464,17600,-15288,22639,-11272,-232
-11240,17488,-16732,21994,-10073,-1740
-10460,17912,-17636,19691,-10826,-3709
-9292,17960,-14380,17550,-10779,-6727
-12132,13380,-5172,21761,-12670,-6207
-11716,14396,-9936,25993,-11110,-6797
-11744,14232,-14820,25217,-11544,-8409
-14048,13592,-12692,24070,-13348,-9364
-14200,12996,-11752,22077,-16005,-9924
-10688,10844,-9328,21490,-13426,-12269
-12092,9716,-7928,22009,-10753,-13390
-12408,9668,-9720,22011,-9389,-13000
-10832,8328,-9492,18953,-10163,-13539
-10880,6656,-7484,16475,-7782,-14100
-11068,5232,-4956,16170,-4090,-13823
-12452,5472,-4864,15577,-6038,-12784
-10576,5344,-5184,14268,-8604,-11940
-10800,4444,-5432,12603,-9738,-10752
-10836,3504,-5660,10417,-10647,-9767
-10540,3184,-5100,8494,-11271,-9197
-9088,2468,-3484,6925,-9507,-6884
-8152,1664,-3168,5805,-7139,-5021
-7836,1220,-3748,4425,-5013,-2739
-6560,1440,-4848,1163,-4145,-1204
-6928,896,-3276,-229,-2795,-888
-5064,224,-2484,-669,261,1487
-6900,856,-2784,-1155,5637,4105
-7108,1284,-4184,-2171,9578,7762
-9100,2940,-6480,-4353,9183,8743
-9228,3540,-7132,-7457,6323,8889
-11064,3516,-5756,-9452,7322,10503
-10348,2484,-4428,-11182,9640,13823
-9400,3932,-5212,-13138,13666,14844
-12740,5688,-5896,-15357,16182,15642
-15324,6188,-4916,-15989,14153,16925
-12732,5892,-3688,-16371,13358,19401
-10040,6692,-6344,-16964,13644,20174
-11828,11148,-10900,-19262,13868,19636
-10532,12168,-9840,-21103,13233,19560
-8116,11532,-6536,-20795,13896,17764
-6696,13396,-8540,-20483,16097,15300
-8588,16532,-12248,-21081,18387,13965
-11020,17832,-12488,-21847,18322,12717
-6864,18084,-12108,-23022,16980,10271
-3920,18692,-12416,-23281,19209,7393
-1992,18392,-13228,-23514,19812,5096
-4584,22208,-15644,-24885,22232,3260
-5208,22664,-13336,-24597,19613,1528
-5164,22556,-11352,-23063,15004,-563
-2224,23520,-14376,-22516,15230,-691
-3900,24276,-16800,-22515,19737,-1974
-5428,24660,-15084,-21432,18307,-3909
-6560,22572,-11524,-19136,17008,-5706
-6596,21996,-12416,-16553,16367,-7753
-7684,20096,-13628,-14859,17200,-9657
-11540,14988,-10080,-11215,16873,-11477
-11248,15028,-14908,-10894,13794,-9880
-11676,11888,-15152,-4440,16433,-9345
1536,31912,17152,5208,19757,8575
-16760,18388,-12528,-28367,20299,-32768
-27420,-16988,-14996,-3213,-336,-20788
2432,2788,-6300,-5926,8177,-7610
-15120,-2912,-12268,547,6708,-12670
-4548,8940,-6336,2061,-947,-8735
-8472,4908,-12416,2290,-8101,-5071
-3464,6052,-12036,1608,-2717,-6046
-8276,6944,-8584,2524,-5513,-5306
-7432,6628,-6132,2307,-5200,-2455
-9072,5868,-6804,4188,-4665,-4173
-6508,6864,-6808,4104,-3678,706
-4724,5820,-5136,4775,-3506,800
-6452,8008,-7708,4583,-2992,2912
-6676,8828,-8136,3851,-2953,3368
-6100,7188,-5344,4091,-2841,4429
-6080,7832,-4592,4880,-1688,4749
-5908,7836,-7996,4507,-168,5793
-6940,11564,-10916,2884,80,6749
-11344,11400,-10584,1770,-2042,9005
-11148,11628,-6524,1868,-7319,10355
-7840,11624,-7268,3907,-7086,10573
-7784,13252,-10992,5164,-6276,11240
-12264,15320,-13836,5138,-10813,11758
-11296,16896,-13496,5846,-15419,11090
-7476,19016,-12536,8796,-14799,9357
-6616,18916,-13364,11984,-12412,8098
-8740,19844,-13544,14304,-13676,6658
-6800,19204,-13756,16700,-15901,4767
-5036,17996,-13812,19205,-15310,2096
-8564,17384,-15116,20638,-15275,1041
-10416,17192,-15308,21380,-17533,-716
-6920,17088,-14316,21786,-17567,-3202
-7312,15816,-15812,22493,-14536,-5268
-6800,16780,-17028,21606,-13282,-7923
-10308,16152,-12896,22068,-13365,-10083
-10420,13920,-10280,23846,-11970,-11439
-13180,13248,-13840,24651,-10499,-11322
-14544,12860,-16376,23225,-11546,-11413
-14092,13028,-13464,21063,-13896,-11505
-12564,11808,-9956,20687,-14331,-11069
-10508,10128,-8800,21478,-12398,-12163
-12044,9616,-5344,22002,-13453,-14235
-8212,9612,-8804,19629,-15307,-14808
-9960,8048,-10720,18398,-11201,-14210
-11752,7936,-11216,14604,-9630,-13141
-12296,7624,-7544,11835,-10442,-11661
-9680,7860,-4508,10320,-13209,-10446
-5976,6108,-3252,9602,-11810,-10316
-6116,5808,-4864,8752,-6906,-8408
-6728,4860,-4796,7703,-3872,-6830
-8388,5268,-4268,6042,-4088,-4214
-5732,4408,-3188,4723,-3870,-2343
-4988,4044,-3708,3500,-2258,-991
-4440,3880,-4140,1806,158,922
-4744,3896,-3968,103,1595,2499
-5488,4260,-3596,-1756,2575,4219
-5588,4276,-3808,-3256,4657,5823
-7744,4748,-4980,-4928,7251,7584
-8408,5516,-5416,-7495,9358,9419
-9700,6244,-5748,-10197,9844,10862
-10328,6928,-5012,-11578,9873,11797
-10360,7940,-4660,-12674,10161,13067
-10240,8412,-6192,-14128,10602,13301
-11776,9896,-7876,-15912,11649,14296
-13268,10780,-8328,-17332,12315,15554
-14752,12164,-8520,-18722,11258,16088
-12744,12992,-9520,-20208,9655,16286
-11520,14992,-12996,-22220,10279,14988
-13828,14728,-12460,-23786,10496,14347
-14148,14652,-10044,-23887,10712,14311
-14000,15552,-11508,-23012,10894,14170
-13732,17344,-13644,-22413,11677,13222
-14776,17848,-14376,-22607,10054,11784
-13104,18112,-14236,-23518,5983,9532
-10340,18552,-13400,-23615,4828,7223
-10812,18852,-13444,-23333,8535,4903
-11212,18540,-11912,-22254,9741,2840
-11576,18724,-11196,-20709,8314,1393
-10480,18208,-11344,-18951,7643,-737
-8680,15940,-11976,-17356,9658,-3284
-13724,15252,-11880,-15554,11908,-6086
-12692,13320,-10772,-14037,9940,-6489
-11988,12212,-9512,-12222,5584,-7148
-7208,11540,-7388,-10492,4722,-8478
-7320,9616,-7416,-8473,5627,-8657
-8240,9092,-8928,-7517,5595,-9045
-8176,8192,-8440,-7458,3996,-9141
-8296,7292,-6964,-7016,3187,-8707
-8372,6896,-5924,-6943,1579,-7655
-7552,6208,-4656,-6506,1008,-6679
-7684,5524,-4124,-5288,967,-5128
-6872,5300,-3024,-3751,1135,-3601
-7672,4680,-3220,-1875,719,-2033
-7916,5492,-4864,-622,241,-284
-8028,6136,-5760,29,-698,1404
-8520,6968,-5740,479,-3316,2861
-6604,6716,-4916,1812,-3056,3431
-5316,6704,-4228,3377,-1107,4605
-6568,7128,-5424,5318,1860,5495
-9800,8396,-7540,6319,971,6947
-8700,8876,-7356,6861,-1800,7034
-7980,8616,-7344,7276,-2957,7207
-8784,10512,-7652,8041,-1174,7564
-10936,12588,-8944,8745,-2347,7879
-11456,14808,-8592,8765,-3790,7511
-12256,16460,-7308,10239,-5016,6935
-11772,18464,-8184,12706,-4703,5161
-12236,19628,-9776,14587,-5150,3509
-10876,19284,-9528,16265,-6449,1817
-11048,18496,-9440,18492,-8067,832
-9928,17416,-9992,20116,-8450,-623
-10168,16800,-11064,20912,-9270,-2024
-10844,15932,-11672,21190,-9609,-3455
-11304,15356,-10216,21599,-9504,-4419
-12204,16032,-10820,21933,-11012,-5602
-10344,16248,-12072,21459,-10841,-8102
-9592,15584,-13308,20709,-7414,-9795
-11120,14340,-11592,20117,-5851,-11033
-13320,14592,-9028,20508,-5961,-11996
-15784,14752,-8428,21052,-8945,-12643
-13160,13720,-10060,20171,-9270,-13651
-12876,12344,-10948,18561,-6760,-13891
-12904,10604,-10432,16905,-6878,-14329
-12068,8960,-9000,14799,-7366,-14937
-12164,8544,-8288,13399,-7018,-13679
-12200,8700,-8104,10954,-8922,-12756
-11468,7840,-6824,9236,-10082,-12060
-10456,6656,-5212,8440,-10907,-10996
-8836,5720,-4416,7604,-11212,-9763
-6980,5384,-3724,6948,-9622,-8459
-6848,5308,-3836,6266,-7610,-7127
-6680,5296,-4104,5371,-6011,-5417
-6824,4640,-3692,4390,-5187,-3545
-6800,4280,-3620,3091,-4751,-929
-6044,3992,-4084,1606,-2743,1754
-6124,4776,-4580,-60,-941,4238
-6848,5116,-5536,-2070,81,6372
-7460,5656,-4984,-3953,1111,8646
-6012,4732,-3040,-5454,2370,10806
-5768,6004,-3436,-6661,6468,12461
-7684,7040,-4128,-7548,9885,13563
-10492,8144,-6276,-9266,9953,15409
-10296,9060,-6068,-11618,9738,17082
-9024,10000,-6088,-13755,11106,17823
-9340,11916,-6332,-15155,13108,16784
-11420,13052,-7180,-16276,14068,17285
-11208,13384,-9192,-17643,10836,16743
-11976,16428,-12252,-19703,9677,16321
-11704,16740,-10940,-19877,13950,17051
-13556,19240,-10592,-20220,15082,15577
-13928,20204,-11108,-20401,12725,13503
-13904,21520,-12284,-20608,10293,11154
-12176,21136,-11628,-20737,11148,8745
-12368,19328,-8952,-19330,12154,6885
-11368,18572,-10244,-17864,12092,4500
-11616,18528,-11292,-17294,11755,1835
-12412,17068,-11128,-17090,11782,-77
-13728,15448,-11188,-16513,9698,-2291
-10716,14116,-10952,-16047,9015,-5109
-12560,14196,-10676,-16046,9175,-7073
-11648,13444,-8480,-14419,7478,-8870
-9980,12772,-8124,-12627,4871,-9733
-8456,12248,-9036,-11191,3151,-10627
-8600,11392,-9396,-10346,2402,-11377
-9356,10016,-8808,-9705,1983,-11531
-7964,9392,-8700,-9403,1282,-11193
-8176,8152,-7640,-8385,1211,-10803
-7988,7884,-7644,-7364,875,-10068
-7520,6684,-6632,-6412,234,-9125
-6764,6324,-6148,-5442,452,-7792
-7172,6028,-5952,-4696,1232,-6133
-7976,5924,-5756,-3115,1566,-4423
-8196,5512,-5436,-1716,676,-2662
-7244,5552,-5544,-410,203,-1157
-7204,6068,-5076,899,1020,438
-8684,6972,-6196,2152,385,2504
-9020,7104,-5740,3308,-647,3522
-8460,6944,-4676,4907,-951,4407
-7940,7184,-5188,6433,1077,5336
-9600,8264,-8084,7271,2062,6112
